Departure Station,Arrival Destination,Railcard,Ticket Type,Lead Time,Price,Ticket Class
london st pancras,birmingham new street,no railcard,advance,17 days,8,standard
london st pancras,birmingham new street,no railcard,advance,1 days,8,standard
liverpool lime street,manchester piccadilly,no railcard,advance,23 days,3,standard
london st pancras,birmingham new street,no railcard,advance,5 days,8,standard
london kings cross,york,no railcard,anytime,0 days,70,standard
london kings cross,york,no railcard,advance,1 days,57,first class
london kings cross,york,no railcard,anytime,0 days,70,standard
london kings cross,york,no railcard,anytime,0 days,70,standard
york,doncaster,no railcard,anytime,0 days,11,standard
london paddington,reading,no railcard,advance,1 days,13,standard
london kings cross,york,no railcard,advance,18 days,35,standard
london st pancras,birmingham new street,no railcard,advance,15 days,54,first class
liverpool lime street,london euston,no railcard,anytime,0 days,151,standard
liverpool lime street,london euston,no railcard,anytime,0 days,151,standard
manchester piccadilly,sheffield,adult,advance,23 days,2,standard
liverpool lime street,london euston,no railcard,anytime,0 days,151,standard
manchester piccadilly,sheffield,adult,advance,19 days,2,standard
liverpool lime street,manchester piccadilly,no railcard,advance,17 days,3,standard
london euston,birmingham new street,no railcard,anytime,0 days,13,standard
london kings cross,york,no railcard,anytime,0 days,70,standard
london euston,manchester piccadilly,no railcard,advance,10 days,72,standard
london paddington,oxford,no railcard,anytime,0 days,63,first class
manchester piccadilly,liverpool lime street,no railcard,anytime,0 days,5,standard
london paddington,oxford,no railcard,anytime,0 days,63,first class
london paddington,reading,no railcard,anytime,0 days,25,standard
london st pancras,birmingham new street,no railcard,advance,1 days,8,standard
london paddington,oxford,no railcard,anytime,0 days,35,standard
manchester piccadilly,leeds,adult,off-peak,0 days,10,standard
liverpool lime street,manchester piccadilly,disabled,advance,2 days,2,standard
london kings cross,york,no railcard,off-peak,0 days,53,standard
london kings cross,york,senior,off-peak,0 days,57,first class
manchester piccadilly,liverpool lime street,senior,off-peak,0 days,3,standard
york,peterborough,disabled,advance,10 days,22,standard
manchester piccadilly,liverpool lime street,senior,advance,6 days,2,standard
reading,didcot,senior,advance,20 days,3,standard
manchester piccadilly,liverpool lime street,senior,advance,11 days,2,standard
manchester piccadilly,liverpool lime street,senior,off-peak,0 days,10,first class
london paddington,reading,senior,advance,1 days,8,standard
birmingham new street,stafford,no railcard,advance,1 days,5,standard
london euston,birmingham new street,no railcard,advance,14 days,52,first class
london kings cross,york,no railcard,advance,1 days,35,standard
york,doncaster,disabled,advance,10 days,4,standard
london euston,birmingham new street,no railcard,advance,13 days,7,standard
london st pancras,birmingham new street,no railcard,advance,15 days,8,standard
birmingham new street,london st pancras,disabled,advance,19 days,15,standard
birmingham new street,london paddington,senior,advance,13 days,13,standard
london euston,birmingham new street,adult,advance,15 days,4,standard
york,doncaster,disabled,advance,1 days,7,first class
birmingham new street,london st pancras,disabled,advance,1 days,39,first class
london euston,manchester piccadilly,no railcard,advance,2 days,72,standard
manchester piccadilly,liverpool lime street,no railcard,advance,19 days,3,standard
york,doncaster,disabled,advance,22 days,7,first class
birmingham new street,london st pancras,disabled,advance,4 days,15,standard
manchester piccadilly,liverpool lime street,no railcard,advance,1 days,3,standard
london paddington,reading,no railcard,advance,18 days,13,standard
manchester piccadilly,liverpool lime street,no railcard,advance,11 days,3,standard
london paddington,reading,no railcard,advance,7 days,13,standard
london paddington,reading,no railcard,advance,1 days,13,standard
manchester piccadilly,liverpool lime street,no railcard,advance,1 days,3,standard
london paddington,reading,no railcard,advance,1 days,13,standard
london paddington,oxford,no railcard,advance,1 days,18,standard
london kings cross,york,no railcard,advance,1 days,35,standard
london paddington,reading,no railcard,advance,23 days,13,standard
liverpool lime street,manchester piccadilly,no railcard,advance,20 days,3,standard
london paddington,reading,no railcard,advance,13 days,13,standard
london paddington,oxford,no railcard,advance,16 days,18,standard
london kings cross,york,adult,advance,15 days,23,standard
london paddington,reading,no railcard,advance,24 days,13,standard
london kings cross,york,no railcard,advance,4 days,35,standard
london paddington,oxford,no railcard,advance,5 days,18,standard
birmingham new street,london st pancras,no railcard,advance,4 days,22,standard
london paddington,reading,no railcard,advance,6 days,13,standard
london kings cross,york,no railcard,advance,11 days,35,standard
london kings cross,york,no railcard,advance,23 days,35,standard
liverpool lime street,manchester piccadilly,no railcard,advance,18 days,3,standard
liverpool lime street,manchester piccadilly,no railcard,advance,16 days,3,standard
london kings cross,york,no railcard,advance,17 days,35,standard
reading,swindon,no railcard,advance,22 days,9,standard
london paddington,london waterloo,no railcard,advance,1 days,3,standard
liverpool lime street,london euston,no railcard,advance,16 days,76,standard
london st pancras,birmingham new street,no railcard,advance,1 days,8,standard
liverpool lime street,london euston,no railcard,advance,9 days,118,first class
london euston,manchester piccadilly,no railcard,advance,3 days,72,standard
london euston,birmingham new street,no railcard,advance,20 days,52,first class
liverpool lime street,london euston,no railcard,advance,18 days,76,standard
london st pancras,birmingham new street,senior,advance,1 days,5,standard
liverpool lime street,london euston,no railcard,advance,16 days,76,standard
liverpool lime street,london euston,no railcard,advance,17 days,76,standard
london euston,manchester piccadilly,disabled,advance,9 days,48,standard
liverpool lime street,london euston,no railcard,advance,13 days,76,standard
london euston,manchester piccadilly,disabled,advance,1 days,48,standard
liverpool lime street,london euston,no railcard,advance,1 days,76,standard
birmingham new street,liverpool lime street,no railcard,advance,1 days,6,standard
york,liverpool lime street,no railcard,advance,3 days,15,standard
london euston,birmingham new street,disabled,advance,1 days,4,standard
london euston,birmingham new street,disabled,advance,14 days,4,standard
manchester piccadilly,liverpool lime street,adult,off-peak,0 days,3,standard
liverpool lime street,london st pancras,no railcard,advance,6 days,77,standard
liverpool lime street,london st pancras,no railcard,advance,3 days,77,standard
london paddington,reading,no railcard,advance,7 days,13,standard
london paddington,reading,no railcard,advance,1 days,13,standard
london paddington,reading,no railcard,advance,23 days,13,standard
london kings cross,york,no railcard,off-peak,0 days,53,standard
liverpool lime street,manchester piccadilly,no railcard,advance,1 days,3,standard
london paddington,reading,no railcard,advance,16 days,13,standard
birmingham new street,london st pancras,senior,advance,8 days,15,standard
manchester piccadilly,liverpool lime street,no railcard,advance,1 days,3,standard
manchester piccadilly,liverpool lime street,no railcard,off-peak,0 days,4,standard
liverpool lime street,manchester piccadilly,adult,advance,8 days,2,standard
liverpool lime street,manchester piccadilly,adult,advance,24 days,2,standard
london kings cross,york,senior,advance,2 days,23,standard
liverpool lime street,manchester piccadilly,no railcard,off-peak,0 days,5,standard
manchester piccadilly,leeds,adult,advance,7 days,6,standard
london st pancras,birmingham new street,no railcard,off-peak,0 days,12,standard
london euston,birmingham new street,no railcard,advance,20 days,7,standard
liverpool lime street,manchester piccadilly,no railcard,off-peak,0 days,15,first class
manchester piccadilly,liverpool lime street,adult,advance,12 days,6,first class
manchester piccadilly,liverpool lime street,adult,advance,1 days,2,standard
london paddington,reading,disabled,advance,3 days,8,standard
london st pancras,birmingham new street,disabled,advance,11 days,5,standard
london kings cross,york,no railcard,advance,5 days,35,standard
liverpool lime street,manchester piccadilly,no railcard,advance,1 days,3,standard
london paddington,reading,no railcard,off-peak,0 days,19,standard
london kings cross,york,no railcard,off-peak,0 days,53,standard
london euston,birmingham new street,no railcard,off-peak,0 days,10,standard
liverpool lime street,london st pancras,no railcard,advance,7 days,77,standard
london st pancras,birmingham new street,adult,advance,24 days,5,standard
london euston,birmingham new street,no railcard,off-peak,0 days,10,standard
london euston,birmingham new street,no railcard,advance,6 days,7,standard
liverpool lime street,manchester piccadilly,disabled,advance,1 days,2,standard
london euston,birmingham new street,no railcard,advance,1 days,7,standard
london st pancras,birmingham new street,adult,advance,8 days,5,standard
manchester piccadilly,sheffield,adult,off-peak,0 days,4,standard
manchester piccadilly,liverpool lime street,no railcard,advance,13 days,3,standard
london st pancras,birmingham new street,no railcard,advance,1 days,8,standard
london st pancras,birmingham new street,no railcard,advance,1 days,8,standard
london st pancras,birmingham new street,no railcard,advance,5 days,8,standard
oxford,bristol temple meads,senior,off-peak,0 days,17,standard
manchester piccadilly,liverpool lime street,no railcard,advance,6 days,3,standard
manchester piccadilly,liverpool lime street,adult,off-peak,0 days,3,standard
manchester piccadilly,liverpool lime street,no railcard,advance,18 days,3,standard
london paddington,reading,no railcard,off-peak,0 days,19,standard
london paddington,reading,disabled,advance,20 days,8,standard
london euston,birmingham new street,no railcard,advance,21 days,7,standard
london kings cross,york,no railcard,off-peak,0 days,53,standard
